Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
C11orf87	LOC399947, LOH11CR1A, NEURIM1	ENSG00000185742	Chromosome 11 open reading frame 87	11	109292846-109299840	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA034656	Uncertain			Tissue enriched	19	cerebral cortex: 18.1	endometrium: 0.9
EGR4	NGFI-C, PAT133	ENSG00000135625	Early growth response 4	2	73518058-73520833	Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA028983	Uncertain			Group enriched	19	cerebral cortex: 4.1;testis: 2.1	adipose tissue: 0.2
FNDC9	C5orf40, MGC27121	ENSG00000172568	Fibronectin type III domain containing 9	5	156768608-156772729	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA011115, HPA017291	Uncertain	Uncertain	Nucleoli, Cytoplasm	Group enriched	19	adrenal gland: 5.0;cerebral cortex: 11.6	appendix: 0.4
KIF5A	D12S1889, MY050, NKHC, SPG10	ENSG00000155980	Kinesin family member 5A	12	57943781-57980415	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA004469, CAB015157	Uncertain			Tissue enriched	19	cerebral cortex: 163.2	adrenal gland: 8.7
MOBP		ENSG00000168314	Myelin-associated oligodendrocyte basic protein	3	39508689-39570970	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA035152	Supportive			Tissue enriched	19	cerebral cortex: 138.0	testis: 7.1
NTSR2	NTR2	ENSG00000169006	Neurotensin receptor 2	2	11798304-11810290	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	19	cerebral cortex: 12.6	ovary: 0.7
PACSIN1	SDPI	ENSG00000124507	Protein kinase C and casein kinase substrate in neurons 1	6	34433916-34503006	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009929, HPA028852, HPA055491	Supportive			Tissue enriched	19	cerebral cortex: 70.9	lymph node: 3.7
SEPT3	SEP3	ENSG00000100167	Septin 3	22	42372276-42394225	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003548, CAB017633	Supportive	Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoskeleton (Actin filaments)	Tissue enriched	19	cerebral cortex: 128.6	placenta: 6.7
TRIM67	TNL	ENSG00000119283	Tripartite motif containing 67	1	231297858-231357302	Cytoskeleton related proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA034776	Uncertain			Tissue enriched	19	cerebral cortex: 5.5	adrenal gland: 0.3
FOXG1	BF1, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-3, HFK1, HFK2, HFK3, QIN	ENSG00000176165	Forkhead box G1	14	29235050-29238870	Disease related genes, Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	18	cerebral cortex: 22.0;testis: 5.5	lymph node: 0.8
GPR26		ENSG00000154478	G protein-coupled receptor 26	10	125425871-125454123	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	18	cerebral cortex: 2.4	testis: 0.1
LRRTM4	FLJ12568	ENSG00000176204	Leucine rich repeat transmembrane neuronal 4	2	76974845-77820445	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	18	cerebral cortex: 11.6	lung: 0.6
NPTX1		ENSG00000171246	Neuronal pentraxin I	17	78440948-78451643	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	18	cerebral cortex: 66.0	adrenal gland: 3.7
PNMA5	KIAA1934	ENSG00000198883	Paraneoplastic Ma antigen family member 5	X	152157368-152162671	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA044690	Supportive			Group enriched	18	cerebral cortex: 4.3;testis: 10.5	spleen: 0.4
FAM19A1	TAFA-1	ENSG00000183662	Family with sequence similarity 19 (chemokine (C-C motif)-like), member A1	3	68053359-68594776	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA013407	Uncertain			Tissue enriched	17	cerebral cortex: 18.3	adrenal gland: 1.1
NKAIN2	FAM77B, TCBA1	ENSG00000188580	Na+/K+ transporting ATPase interacting 2	6	124125286-125146803	Disease related genes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045860	Uncertain			Tissue enriched	17	cerebral cortex: 27.7	skeletal muscle: 1.6
NSG2		ENSG00000170091	Neuron-specific protein family member 2 	5	173472607-173670504	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA056191	Supportive			Group enriched	17	adrenal gland: 33.6;cerebral cortex: 150.9	rectum: 5.5
RTN1	NSP	ENSG00000139970	Reticulon 1	14	60062694-60337684	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002745, HPA044249	Supportive			Tissue enriched	17	cerebral cortex: 411.2	spleen: 24.7
SLC17A6	DNPI, VGLUT2	ENSG00000091664	Solute carrier family 17 (vesicular glutamate transporter), member 6	11	22359643-22401049	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB037130, HPA039226	Supportive			Tissue enriched	17	cerebral cortex: 4.1	pancreas: 0.2
SNAP25	bA416N4.2, dJ1068F16.2, RIC-4, RIC4, SEC9, SNAP, SNAP-25	ENSG00000132639	Synaptosomal-associated protein, 25kDa	20	10199478-10288066	FDA approved drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000360, HPA001830	Supportive	Uncertain	Cytoplasm, Golgi apparatus, Cytoskeleton (Actin filaments), Nucleus, Nucleoli	Tissue enriched	17	cerebral cortex: 803.1	adrenal gland: 48.0
CNTNAP5	caspr5, FLJ31966	ENSG00000155052	Contactin associated protein-like 5	2	124782864-125672864	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	16	adrenal gland: 1.7;cerebral cortex: 3.5;gallbladder: 4.5	rectum: 0.2
KCNIP2	KCHIP2	ENSG00000120049	Kv channel interacting protein 2	10	103585731-103603677		Evidence at protein level	Evidence at transcript level	Evidence at protein level						Group enriched	16	adipose tissue: 185.9;cerebral cortex: 39.6;heart muscle: 126.8	adrenal gland: 7.5
MBP		ENSG00000197971	Myelin basic protein	18	74690783-74845639	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002300, HPA049222	Supportive	Uncertain	Centrosome	Tissue enriched	16	cerebral cortex: 1153.5	skeletal muscle: 72.0
NRXN1	Hs.22998, KIAA0578	ENSG00000179915	Neurexin 1	2	50145643-51259674	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	16	cerebral cortex: 90.3	colon: 5.6
PRLHR	GPR10	ENSG00000119973	Prolactin releasing hormone receptor	10	120352916-120355160	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA039361	Uncertain			Group enriched	16	adrenal gland: 5.9;cerebral cortex: 1.4;endometrium: 2.5;smooth muscle: 3.3	stomach: 0.2
SLC4A10	NBCn2, NCBE	ENSG00000144290	Solute carrier family 4, sodium bicarbonate transporter, member 10	2	162280843-162841792	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA034755	Uncertain			Tissue enriched	16	cerebral cortex: 38.7	colon: 2.5
STMN4	RB3	ENSG00000015592	Stathmin-like 4	8	27092840-27115937	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA027765	Uncertain			Tissue enriched	16	cerebral cortex: 155.5	adrenal gland: 9.9
TMEM151A	MGC33486, TMEM151	ENSG00000179292	Transmembrane protein 151A	11	66059341-66064135	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA041035	Uncertain			Tissue enriched	16	cerebral cortex: 21.2	adrenal gland: 1.3
BCAN	BEHAB, CSPG7, MGC13038	ENSG00000132692	Brevican	1	156611182-156629324	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007865, CAB025862	Supportive	Supportive	Nucleus but not nucleoli, Mitochondria, Cytoplasm	Tissue enriched	15	cerebral cortex: 196.1	skin: 13.1
CALY	CALCYON, DRD1IP, NSG3	ENSG00000130643	Calcyon neuron-specific vesicular protein	10	135138927-135150475	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA042283	Uncertain			Group enriched	15	adrenal gland: 29.1;cerebral cortex: 64.0	stomach: 3.1
CCKBR		ENSG00000110148	Cholecystokinin B receptor	11	6280966-6293357	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA041976	Uncertain			Group enriched	15	cerebral cortex: 6.3;pancreas: 10.3;stomach: 14.1	prostate: 0.7
CDH10		ENSG00000040731	Cadherin 10, type 2 (T2-cadherin)	5	24487209-24645087	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA010651	Uncertain			Group enriched	15	cerebral cortex: 21.9;prostate: 4.9	adrenal gland: 0.9
CDH9		ENSG00000113100	Cadherin 9, type 2 (T1-cadherin)	5	26880709-27121257	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA007167	Uncertain			Group enriched	15	cerebral cortex: 6.1;kidney: 5.1	small intestine: 0.4
CNTNAP4	CASPR4, KIAA1763	ENSG00000152910	Contactin associated protein-like 4	16	76311176-76593135	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031859, HPA057342	Supportive			Tissue enriched	15	cerebral cortex: 21.6	adrenal gland: 1.4
CUX2	CDP2, CUTL2, KIAA0293	ENSG00000111249	Cut-like homeobox 2	12	111471828-111788358	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044772	Uncertain			Group enriched	15	cerebral cortex: 6.9;liver: 11.8;prostate: 10.0;thyroid gland: 4.2	testis: 0.6
ELAVL2	HEL-N1, HuB	ENSG00000107105	ELAV like neuron-specific RNA binding protein 2	9	23690102-23826335	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB022222, HPA063001	Supportive			Group enriched	15	cerebral cortex: 31.5;testis: 48.9	adrenal gland: 2.7
FSTL5	DKFZp566D234, KIAA1263	ENSG00000168843	Follistatin-like 5	4	162305049-163085187	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA045909, HPA046724	Supportive	Uncertain	Nucleus, Nucleoli, Cytoplasm	Group enriched	15	adrenal gland: 7.9;cerebral cortex: 11.1	testis: 0.7
NPY	PYY4	ENSG00000122585	Neuropeptide Y	7	24323782-24331484	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016733, CAB034368, HPA044572, HPA056798	Supportive	Supportive	Golgi apparatus	Group enriched	15	adrenal gland: 96.3;cerebral cortex: 96.8;prostate: 326.2	appendix: 11.2
SCN2A	HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2	ENSG00000136531	Sodium channel, voltage-gated, type II, alpha subunit	2	166095912-166248818	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB022567	Uncertain			Tissue enriched	15	cerebral cortex: 35.7	kidney: 2.4
SEZ6L		ENSG00000100095	Seizure related 6 homolog (mouse)-like	22	26565440-26779562	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	15	adrenal gland: 9.7;cerebral cortex: 46.9	stomach: 1.9
STX1B	STX1B1, STX1B2	ENSG00000099365	Syntaxin 1B	16	31000577-31021949	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	15	cerebral cortex: 48.9	skin: 3.2
ARPP21	ARPP-21, R3HDM3, TARPP	ENSG00000172995	CAMP-regulated phosphoprotein, 21kDa	3	35680437-35835988	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA017303	Supportive	Uncertain	Nucleoli, Cytoplasm	Group enriched	14	cerebral cortex: 61.8;skeletal muscle: 22.7	esophagus: 3.0
CDH18	CDH14, EY-CADHERIN	ENSG00000145526	Cadherin 18, type 2	5	19473060-20575982	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA014365	Uncertain			Group enriched	14	adrenal gland: 7.6;cerebral cortex: 16.9;testis: 5.4	pancreas: 0.7
